Ref.Data,Citta,Zona,Address,Price,Dimension (m2),Floor,Ascensore,Rooms,Bathrooms,Build.Date,Stato,longitude,latitude
21/04/2023,Torino,Aurora,via Parma 11,97000,60,3,1,2,1,1950,Buono / Abitabile,7.6907418,45.0809534
20/04/2023,Torino,Barriera di Milano,via Girolamo Frescobaldi 6,62900,40,1,1,2,1,2008,,7.6955917,45.0859691
20/04/2023,Torino,Barriera di Milano,corso Vercelli 144,69900,70,1,0,3,1,1940,Buono / Abitabile,7.6927717,45.0978861
21/04/2023,Torino,Barriera di Milano,via Valprato 52,199000,93,1,1,3,2,2006,Ottimo / Ristrutturato,7.6843418,45.0928952
21/04/2023,Torino,Rebaudengo,via Nicola Porpora 29/18,43000,45,0,1,2,1,1960,Da ristrutturare,7.696602,45.1003173
26/04/2023,Torino,Aurora,corso Regina Margherita 102,290000,148,1,1,5,1,1915,Da ristrutturare,7.689299,45.0750739
27/04/2023,Torino,Aurora,corso Novara 10,115000,92,3,0,4,2,1940,Buono / Abitabile,7.6898721,45.0879767
28/04/2023,Torino,Barriera di Milano,via Monte Rosa 81,45000,45,6,1,2,1,1960,Da ristrutturare,7.495167722799426,45.07637875
18/04/2023,Torino,Aurora,via Cardinale Gaetano Alimonda 5,139000,90,1,1,4,1,1940,Buono / Abitabile,7.6901301,45.0854613
18/04/2023,Torino,Barriera di Milano,via Giovanni Pierluigi da Palestrina 46,34000,41,3,0,2,1,1940,Da ristrutturare,,
21/04/2023,Torino,Barriera di Milano,via Giovanni Pierluigi da Palestrina 46,65000,85,3,0,4,2,1980,Da ristrutturare,,
18/04/2023,Torino,Aurora,largo Brescia 47,138000,83,2,1,3,1,1960,Ottimo / Ristrutturato,7.6925689,45.0815678
19/04/2023,Torino,Rebaudengo,via campobasso 10,95000,80,0,1,3,1,1970,Buono / Abitabile,7.6982629,45.1083662
18/04/2023,Torino,Barriera di Milano,via Giovanni Pierluigi da Palestrina 46,99000,85,0,0,4,1,1940,Ottimo / Ristrutturato,,
18/04/2023,Torino,Rebaudengo,corso Vercelli 278,115000,87,2,1,3,1,1992,Buono / Abitabile,7.6982562,45.1111449
17/04/2023,Torino,Barriera di Milano,via Giovanni Paisiello 49,48000,60,2,1,2,1,1950,Buono / Abitabile,7.7025719,45.0923367
08/05/2023,Torino,Barriera di Milano,corso Vercelli 121,65000,65,2,0,3,1,1950,Buono / Abitabile,7.6915492,45.0959026
17/04/2023,Torino,Barriera di Milano,Terratetto plurifamiliare via Leinì 19,290000,280,0,0,5,1,1940,Buono / Abitabile,,
17/04/2023,Torino,Aurora,via Borgo Dora 4,149000,65,2,1,2,1,1945,Buono / Abitabile,7.6841733,45.0787492
27/04/2023,Torino,Barriera di Milano,via Gaspare Spontini 8,29000,40,3,0,2,1,1960,Da ristrutturare,7.6965455,45.0939308
17/04/2023,Torino,Barriera di Milano,plurifamiliare via Leinì 19,290000,280,0,0,5,1,1940,Buono / Abitabile,,
20/04/2023,Torino,Barriera di Milano,corso Giulio Cesare 118,49900,60,3,1,3,1,1940,Da ristrutturare,7.6944058,45.0929813
15/04/2023,Torino,Rebaudengo,via Nicola Porpora 26,49900,50,2,1,2,1,1950,Da ristrutturare,7.6971561,45.0994432
15/04/2023,Torino,Rebaudengo,via Nicola Porpora 26,49900,50,2,1,2,1,1950,Da ristrutturare,7.6971561,45.0994432
18/04/2023,Torino,Aurora,corso Regio Parco,98000,40,0,0,2,1,1960,Buono / Abitabile,7.6921603,45.0759518
18/04/2023,Torino,Barriera di Milano,via Brandizzo 98,48900,55,4,1,2,1,1970,,7.7032051,45.0900408
06/05/2023,Torino,Barriera di Milano,via Santhià 91,74800,50,2,0,2,1,1970,,7.6993898,45.0949779
29/04/2023,Torino,Barriera di Milano,via Monte Rosa 44,68000,72,1,0,3,1,1930,Buono / Abitabile,7.6948528,45.0895944
14/04/2023,Torino,Barriera di Milano,via Antonio Vivaldi 4,39900,54,3,0,2,1,1955,Buono / Abitabile,7.7014366,45.0919891
21/04/2023,Torino,Barriera di Milano,via Bologna 97,89000,70,4,0,3,1,1980,Buono / Abitabile,7.7004168,45.084834
14/04/2023,Torino,Regio Parco,corso Giulio Cesare 180,99000,75,2,0,3,1,1910,Buono / Abitabile,7.69763,45.0979121
26/04/2023,Torino,Regio Parco,corso Giulio Cesare 180A,46000,82,5,0,3,1,1940,Buono / Abitabile,7.6975646,45.0978096
14/04/2023,Torino,Barriera di Milano,via Desana 19,43000,54,2,0,2,1,1940,Buono / Abitabile,7.6894882,45.0967268
14/04/2023,Torino,Rebaudengo,piazza Derna 231,520000,900,3,1,5,1,1993,Ottimo / Ristrutturato,7.6997484,45.1037409
21/04/2023,Torino,Barriera di Milano,via Valprato 56/4,300000,147,5,1,5,2,2011,Nuovo / In costruzione,7.6851072,45.0933936
13/04/2023,Torino,Barriera di Milano,via Gaspare Spontini 27,29000,48,0,0,2,1,1950,Buono / Abitabile,7.6980617,45.0936255
18/04/2023,Torino,Barriera di Milano,via Luigi Salvatore Cherubini 10,39900,59,4,1,2,1,1970,Buono / Abitabile,7.695436,45.0925445
17/04/2023,Torino,Barriera di Milano,via Feletto 35,55000,38,2,1,2,1,1950,Ottimo / Ristrutturato,7.6939324,45.0918717
14/04/2023,Torino,Barriera di Milano,via Giovanni Paisiello 12,34000,40,2,0,1,1,1960,Buono / Abitabile,7.6988904,45.0892626
12/04/2023,Torino,Aurora,via Beinasco 7,79000,75,2,0,3,1,1977,Buono / Abitabile,7.6803824,45.0862577
12/04/2023,Torino,Aurora,corso Vercelli 28,43900,50,3,0,2,1,1870,Buono / Abitabile,7.6872411,45.0866091
13/04/2023,Torino,Aurora,Strada del Fortino 27,69000,75,4,0,3,1,1930,Buono / Abitabile,7.6792959,45.0845167
18/04/2023,Torino,Aurora,via Pisa 18,1030000,268,4,1,5,1,2023,Nuovo / In costruzione,7.6917883,45.0781771
18/04/2023,Torino,Aurora,via Pisa 18,799000,209,4,1,4,1,2023,Nuovo / In costruzione,7.6917883,45.0781771
12/04/2023,Torino,Aurora,via Piossasco 11/4,105000,103,2,1,4,1,1960,Da ristrutturare,7.5130731,45.0239083
29/04/2023,Torino,Barriera di Milano,via Luigi Salvatore Cherubini 6,42000,56,6,1,2,1,1957,Buono / Abitabile,7.6951271,45.092536
12/04/2023,Torino,Barriera di Milano,via Gaspare Spontini 6,85000,77,1,0,3,1,1952,Ottimo / Ristrutturato,7.6963096,45.094
18/04/2023,Torino,San Donato,corso Principe Eugenio 4,199000,114,1,1,4,1,1900,Ottimo / Ristrutturato,7.6748297,45.0790528
18/04/2023,Torino,Aurora,via Pisa 18,899000,236,4,1,5,1,2023,Nuovo / In costruzione,7.6917883,45.0781771
26/04/2023,Torino,Rebaudengo,via Alessandrina Ravizza 7,35000,40,1,0,2,1,1950,Da ristrutturare,7.695516,45.0995323
18/04/2023,Torino,Aurora,via Pisa 18,249000,73,2,1,2,1,2023,Nuovo / In costruzione,7.6917883,45.0781771
18/04/2023,Torino,Aurora,via Pisa 18,349000,96,2,1,2,1,2023,Nuovo / In costruzione,7.6917883,45.0781771
18/04/2023,Torino,Aurora,via Pisa 18,189000,52,2,1,1,1,2023,Nuovo / In costruzione,7.6917883,45.0781771
17/04/2023,Torino,Barriera di Milano,via Rivarossa,55000,50,1,0,2,1,1980,Ottimo / Ristrutturato,7.7225365,45.2650118
20/04/2023,Torino,Barriera di Milano,via candia 9/B,59900,50,3,0,2,1,1980,,7.6967316,45.0896401
14/04/2023,Torino,Barriera di Milano,via Giovanni Paisiello 69,119000,105,2,1,3,1,1980,Da ristrutturare,7.7041749,45.0942289
15/04/2023,Torino,Barriera di Milano,via Renato Martorelli 29,54000,67,4,0,3,1,1940,Buono / Abitabile,7.6936224,45.0951474
13/04/2023,Torino,Barriera di Milano,piazza Giovanni Bottesini 15,79000,78,2,1,3,1,1969,Buono / Abitabile,7.6985164,45.0884182
07/04/2023,Torino,Rebaudengo,via Vistrorio 99,115000,87,2,1,4,1,1995,Ottimo / Ristrutturato,7.7014912,45.1109491
24/04/2023,Torino,Aurora,via Lodi,79000,55,4,1,2,1,1960,Buono / Abitabile,7.6888222,45.0847038
15/04/2023,Torino,Barriera di Milano,via Lauro Rossi 34,48000,48,0,0,2,1,1900,Ottimo / Ristrutturato,7.6906419,45.0958181
18/04/2023,Torino,Aurora,corso Principe Oddone 64,279000,115,2,1,5,2,1930,Buono / Abitabile,7.674925,45.0853778
05/04/2023,Torino,Barriera di Milano,via Alessandro Scarlatti 23,30000,40,3,0,2,1,1958,Buono / Abitabile,7.6967464,45.0902517
13/04/2023,Torino,Aurora,corso Brescia 4,94000,90,4,0,4,1,1900,Buono / Abitabile,7.6882348,45.0826431
20/04/2023,Torino,Aurora,corso Giulio Cesare 59,29900,50,3,0,2,1,1950,Buono / Abitabile,7.6898727,45.086614
20/04/2023,Torino,Aurora,corso Giulio Cesare 59,25900,42,3,0,2,1,1950,Da ristrutturare,7.6898727,45.086614
13/04/2023,Torino,Aurora,via Cuneo 49,135000,85,5,1,3,1,1960,Ottimo / Ristrutturato,7.6803324,45.0866073
21/04/2023,Torino,Barriera di Milano,via Antonio Banfo 50,29000,40,1,0,2,1,1940,Da ristrutturare,7.6874745,45.0930104
05/04/2023,Torino,Barriera di Milano,corso Giulio Cesare 173,69000,80,3,1,4,1,1930,Buono / Abitabile,7.6967993,45.0972108
05/04/2023,Torino,Aurora,corso Giulio Cesare 59,34900,45,3,0,2,1,1900,Buono / Abitabile,7.6898727,45.086614
04/04/2023,Torino,Barriera di Milano,corso Palermo,55000,85,1,0,3,1,1967,Da ristrutturare,7.6930508,45.0846421
08/05/2023,Torino,Barriera di Milano,via Pont 7,29000,50,0,0,2,1,1930,Buono / Abitabile,7.6798842,45.0911072
04/04/2023,Torino,Aurora,via Francesco Cigna 64,75000,50,1,1,2,1,1966,Ottimo / Ristrutturato,7.681798,45.0865373
05/04/2023,Torino,Barriera di Milano,via Feletto 35,55000,45,2,1,2,1,1900,Ottimo / Ristrutturato,7.6939324,45.0918717
12/04/2023,Torino,Barriera di Milano,via Alessandro Scarlatti 60,55000,61,2,0,3,1,1940,Buono / Abitabile,7.6997733,45.0893839
06/05/2023,Torino,Barriera di Milano,via Niccolò Paganini 42,89900,90,1,0,4,1,1940,,7.7043142,45.0874245
03/04/2023,Torino,Aurora,corso Novara 38,95000,87,3,1,3,1,1957,Buono / Abitabile,7.6925843,45.0864301
08/04/2023,Torino,Aurora,corso Principe Oddone 38,129000,120,1,0,5,1,1930,Da ristrutturare,7.6728867,45.0824637
21/04/2023,Torino,Aurora,via Cuneo 2,125000,72,3,1,3,1,2000,Buono / Abitabile,7.7391051,44.9769129
03/04/2023,Torino,Barriera di Milano,via Gaspare Spontini 6,63000,85,1,0,3,1,1960,Buono / Abitabile,7.6963096,45.094
22/04/2023,Torino,Rebaudengo,via Gottardo 51,79900,85,7,1,3,1,1970,Buono / Abitabile,7.6926955,45.0999713
19/04/2023,Torino,Aurora,via Gianfrancesco Fiochetto 1,120000,105,1,1,5,2,1980,Da ristrutturare,7.6859489,45.0769009
07/04/2023,Torino,Aurora,ottimo stato,290000,150,1,0,5,2,1900,Ottimo / Ristrutturato,,
06/05/2023,Torino,Barriera di Milano,via mercadante 74,189000,115,2,1,4,2,1970,Buono / Abitabile,7.70192633808144,45.0940502
18/04/2023,Torino,Barriera di Milano,via Bologna 93,79900,75,2,1,3,1,1960,Buono / Abitabile,7.6998251,45.0845292
01/04/2023,Torino,Aurora,via Antonio Cecchi,63000,65,3,1,3,1,1950,Buono / Abitabile,7.6802712,45.0878802
07/05/2023,Torino,Barriera di Milano,via Soana,120000,58,1,0,2,1,2016,Ottimo / Ristrutturato,7.6905024,45.0911209
09/05/2023,Torino,Aurora,corso Giulio Cesare 58,119000,114,7,1,4,1,1960,Buono / Abitabile,7.6906896,45.0868796
03/04/2023,Torino,Rebaudengo,via Gottardo 37,104000,90,2,1,3,1,1965,Ottimo / Ristrutturato,7.6920126,45.1005112
03/04/2023,Torino,Aurora,via San Giovanni Battista la Salle 16,39000,48,1,0,2,1,1900,Da ristrutturare,7.6870151,45.0801
31/03/2023,Torino,Barriera di Milano,via Giovanni Duprè 24,65000,60,2,0,2,1,1960,Buono / Abitabile,7.7000326,45.093438
31/03/2023,Torino,Aurora,Palazzo - Edificio in Vendita,690000,800,1,0,5,1,1990,Ottimo / Ristrutturato,,
09/05/2023,Torino,Barriera di Milano,via Lauro Rossi 57,37000,40,0,0,2,1,1950,Buono / Abitabile,7.6887412,45.0962342
